,md5_hash,total_time,age,english_level,age_of_acquisition,bilingual,bilingual_languages,time_in_english_country,english_history,traditional_classes,private_tutoring,language_learning_tech,social_media,video_games,in_person_conversations,private_messaging,emails_with_native_english,media_in_english,books_in_english,problems_difficulties,experiment_about,other_notes_questions,above_ability,response_a1,response_a2,response_a3,response_a4,response_b1,response_b2,response_b3,response_b4,response_c1,response_c2,response_c3,response_c4,response_d1,response_d2,response_d3,response_d4,response_e1,response_e2,response_e3,response_e4,response_f1,response_f2,response_f3,response_f4,response_g1,response_g2,response_g3,response_g4,response_h1,response_h2,response_h3,response_h4
12,667c93b9bd6cf8bc79cf2a712efc4546,23.03,22,B1-B2,"=""5-10""",yes,English%2C French,no,The most recent english language certification that I have is for the level B2%2C and I took it through university,yes,no,no,yes,no,no,no,yes,no,no,No,La capacità degli italiani di cogliere errori grammaticali o di senso,,no,1,2,7,7,1,3,1,4,1,1,5,6,2,1,5,2,2,6,6,2,1,1,6,1,4,6,2,2,1,1,3,3
13,9b4e3a0d0bb0458e81f442d8682ae312,15.77,22,B1-B2,"=""5-10""",yes,Hungarian,no,I have the B1 English certificate%2C now I'm studying at the university and my course requires a higher level%2C so I  attend English C1/C2 twice a week,yes,no,no,yes,no,no,no,no,yes,no,No,Frasi inglesi italianizzate%2C cioè capire se persone italiane riconoscono in alcune frasi inglesi la grammatica italiana o meno,,no,7,7,7,7,5,7,2,7,4,6,7,5,6,1,2,3,7,3,2,7,5,3,2,5,7,5,3,7,6,3,7,3
14,d1ab75400a8b5a632f9c40bff07e1b05,16.03,32,B1-B2,"=""5-10""",yes,English,no,"I started learning English at school%2C at the age of 8. Ever since then English had been catching my attention (mostly because of music and videogames).%0AI went on ""learning-vacations"" to England twice%2C at the age of 17 and 18.%0AAs I moved away to University%2C in Siena%2C I began to meet more and more friends from all around the world%2C so I kept practising everyday.%0AI took FCE exam (B2) years ago.%0AI took part in 2 Erasmus+ Training Courses in English%2C in Bulgaria and Poland.%0AI wrote a small stories fantasy/horror collection in English.%0AI'm attending C1-C2 courses at UniSi right now.",yes,no,no,yes,yes,yes,yes,no,yes,no,no,"penso che riguardasse la capacità di riconoscere alcune espressioni dell'inglese%2C soprattutto parlato e informale.%0A%0A(si dice ""Cosa pensi che riguardasse""...senza ""Di"" :P)",,no,7,7,5,7,4,7,7,6,7,7,7,7,1,6,2,2,6,7,5,2,6,7,7,3,6,5,7,5,3,7,7,6
15,a1f0cc8c6c6441ec8c704c624a53b6e9,8.07,26,A1-A2,"=""5-10""",yes,English,no,I studied english since i was 6 years at the primary school and i finished to study english when i was 19 years.%0AI don't have any certifications.,no,no,no,no,no,no,no,no,yes,no,Non molte%2C comunque meglio la comprensioneve la lettura rispetto alla scrittura,Capire meglio il livello d'inglese rispetto alle competenze apprese in un'ambiente di conversazione informale.,,no,7,3,6,5,7,7,7,6,3,3,5,7,6,5,6,7,7,7,3,6,5,2,3,6,7,4,7,6,1,4,7,5
16,bb2443134818c1ef6f4ce34f402dea80,14.07,20,C1-C2,"=""5-10""",yes,english,no,I followed two english courses at the middle school%2C then I took the B1 at 15%2C the B2 at 16 and in this moment I am studying to get the C1,yes,yes,no,yes,no,no,no,no,yes,no,no,penso che riguardi la scelta del linguaggio che le persone scelgono di usare in base alla confidenza che hanno con le persone con le quali si relazionano e in base al proprio livello di inglese,,no,7,4,4,6,6,6,3,4,5,5,7,5,7,4,6,1,6,2,6,4,7,7,6,4,7,4,5,3,2,7,7,4
17,1f15f9da9ec902b84d299d4788564dc9,20.38,32,C1-C2,"=""5-10""",no,,no,,no,no,no,yes,yes,yes,yes,yes,yes,yes,No,,,no,7,6,7,5,5,4,4,6,7,6,6,7,3,4,1,6,7,5,5,6,1,4,3,7,7,5,6,6,3,7,4,6
18,81806fa7f1209dec40f23d231bda58fb,16.87,34,B1-B2,"=""5-10""",yes,english,no,First Certificate-Cambridge,no,no,no,yes,yes,no,yes,no,yes,yes,no,quanto gli errori grammaticali%2C modi di dire e gergo influenzino la percezione della naturalezza delle frasi.,,no,5,7,6,6,6,6,7,6,6,7,5,7,4,5,5,7,6,7,7,7,6,7,7,7,6,5,6,7,6,6,7,7
19,46c6b0ca3edaeb3ac3ce0246af67e662,31.99,45,B1-B2,"=""10-13""",yes,English,no,I have no English certification,no,no,no,no,no,no,no,yes,no,yes,No,Traduzione letterale espressioni linguistiche,,no,6,6,6,5,5,5,2,5,6,5,5,6,3,3,5,3,3,5,3,5,5,5,6,5,6,5,5,6,6,6,2,4
20,518f1cdf85c59be49b0cc4cd049ae4c7,32.59,24,C1-C2,"=""10-13""",yes,English,no,I learned english mostly through playing videogames in the early 2000s,no,no,no,yes,yes,no,no,no,yes,yes,,a mio parere un po' troppo lungo,,no,7,7,7,6,7,7,7,4,7,1,7,7,2,5,2,4,6,6,5,3,7,1,7,7,6,7,7,7,1,6,7,1
21,122b1a42ef1c1b06e687428edf625c5d,12.65,25,C1-C2,"=""5-10""",yes,English,no,IELTS 8. Used in,yes,no,yes,yes,no,no,yes,yes,yes,yes,No.,Comprendere%2C in base a lessico%2C grammatica%2C coerenza e vocabolario quale fosse il background degli interlocutori e quale la naturalezza dei loro discorsi.,,no,5,7,7,6,7,4,7,7,5,6,5,5,3,6,6,4,7,6,4,7,6,7,7,7,5,7,6,3,4,5,4,7
22,8f3089034d156c4c23480bf26a0588b3,17.27,20,C1-C2,"=""5-10""",yes,English,no,I took a university exam in October 2020 certifying that I'm an advanced speaker.,yes,no,no,yes,no,no,no,no,yes,yes,Ho avuto qualche dubbio durante la votazione perchè non sapevo se considerare o meno gli errori grammaticali%2C che capitano spesso durante le conversazioni tra madrelingua per distrazione.,Credo che alcuni messaggi fossero scritti in italiano e tradotti letteralmente in inglese. Ho avuto l'impressione che lo scopo fosse di verificare quanto costrutti grammaticali o espressioni corrette in italiano venissero effettivamente identificate come sbagliate quando tradotte in inglese.,,no,7,6,7,7,6,3,6,4,6,5,5,6,4,1,2,5,5,4,6,5,3,4,5,4,5,3,7,5,2,4,4,3
23,0505196ccd6a32f32833b76263a5761c,16.02,17,B1-B2,"=""5-10""",yes,English%2C French%2C German,no,I am learning English in school (liceo linguistico). I have a B2 certification,yes,no,no,yes,yes,no,no,yes,yes,yes,No,Le differenze nel formare le frasi,,no,7,7,7,7,7,5,5,5,7,7,5,6,4,2,3,1,6,7,7,7,3,3,3,4,6,7,5,6,4,4,5,3
24,c4c7691ff3de3c759fd7160593b93650,29.41,24,A1-A2,"=""5-10""",no,,no,I've studied English from primary school at high school,no,no,no,no,no,no,no,no,yes,no,Non problemi di comprensione quanto piccole incertezze sulla grammatica,Capire quali frasi%2C pensieri e modi di fare fossero più congeniali all'italiano medio,Bell'esperimento%2C spero di leggere il resoconto finale! In bocca al lupo,no,5,5,5,3,5,4,7,5,7,5,5,2,6,5,6,5,7,6,4,5,4,2,4,5,3,2,5,6,5,5,2,4
25,677e61a6f988ceb4cfd5ea1c20e75361,8.94,21,B1-B2,"=""5-10""",yes,English%2C Spanish,no,I originally attended a PET preparation course at my high school but ended up getting an A grade at the test thus obtaining a B2 certification,no,no,no,yes,no,no,yes,no,yes,yes,No per niente,I vari registri della lingua inglese,,no,6,6,5,7,6,7,6,7,5,5,7,7,7,4,4,6,6,5,3,7,4,5,5,6,6,5,7,5,3,7,7,6
26,9e78f3a8682a11351c7afdc3b1509872,22.21,27,B1-B2,"=""5-10""",no,,no,Started study English at 9 years old at school%2C studied mainly English leterature in high school,yes,no,no,yes,no,no,no,no,yes,no,No,Capire quanto il modo in cui noi impostiamo le frasi in italiano influisca nella percezione di correttezza o meno riguardo a quelle in inglese (soggetto sottointeso%2C tempi verbali%2C ordine diverso delle parole ecc.),,no,6,6,6,4,4,3,5,3,5,4,6,5,3,5,3,3,5,7,5,7,4,2,4,3,3,4,1,4,3,2,3,2
27,3a0cdb4945341070b4cd53cf632ebcf5,12.02,24,C1-C2,"=""0-4""",yes,English%2C French,yes,I did a semester abroad in Dublin during my Bachelor's degree%2C I graduated in Foreign Languages (English and French) in 2018 at Università Cattolica di Milano (which certificates a C1 level of the languages you studied) and I'm still attending some classes in english for my Master's degree in Digital Humanities at Università di Pisa,yes,no,no,yes,no,no,no,no,yes,yes,No%2C solo qualche rallentamento durante il caricamento di alcune immagini a volte,"Credo che il soggetto fosse la percezione di naturalezza/non naturalezza dell'inglese informale%2C come quello usato su whatsapp%2C nonostante alcuni comportamenti che sarebbero considerati errori nell'inglese standard (ad esempio il non usare sempre il soggetto o usarlo nel posto ""sbagliato"" come in fondo alla frase%2C cosa che in italiano%2C invece%2C è corretta)",,no,7,7,7,7,7,4,7,7,5,5,7,7,4,5,5,5,6,5,6,3,3,6,7,2,7,7,6,2,6,6,3,6
28,b3c41d656b1a78a12be08697ce988ba1,11.64,21,B1-B2,"=""5-10""",yes,English,no,I’ve just studied it at school and at the moment i have just passed a B1 English exam at university,no,no,no,no,no,yes,yes,no,yes,no,No,La competenza ottenuta dagli italiani nello studio dell’inglese,,no,5,6,5,6,3,5,5,5,3,4,4,3,7,4,5,6,5,5,5,4,3,6,6,3,5,3,6,6,4,6,3,7
29,018fb8448268ab99c632ccbca01e6e1b,22.16,35,C1-C2,"=""14+""",no,,yes,I’ve lived in the States for 6 years. Before that I studied English in Italy and I got a college degree in foreign languages.,no,no,no,yes,yes,yes,yes,yes,yes,yes,No,Grammaticality judgements in IT/EN bilinguals. Lack of subject pronouns%2C calques/interference of fixed idioms%2C etc,Most of my answers were polarized at the extremes of the scoring scale. It’s hard to use intermediate scores%2C for me dialogues felt either natural or not once I spotted something off.,no,7,6,7,7,1,4,1,1,5,1,7,7,1,1,1,1,6,7,7,7,1,1,1,1,7,7,7,7,7,1,1,2
30,3f2e8782fb91d2b85e2065c25545c304,26.58,35,B1-B2,"=""10-13""",yes,English%2C Spanish,yes,Studied at secondary and tertiary school (medie e superiori)%2C some study-trip in England%2C years of comics and videogames. After school%2C university social studies and months long trips worldwide. No advanced english course and no certification. Since ten years freelance entertainment technician.,no,no,no,yes,yes,yes,yes,yes,yes,yes,,Lo studio delle molteplici combinazioni in cui si può comunicare con la lingua inglese%2C in relazione alla lingua madre di chi comunica.,Il voto 7 mi è stato particolarmente difficile darlo. In qualche modo non avevo mai la sicurezza di stare leggendo una conversazione completamente inglese. Il voto 1%2C al contrario%2C era direttamente collegato ad errori grammaticali molto evidenti.,no,4,6,5,5,5,6,7,5,4,4,4,6,2,3,1,6,5,2,4,6,6,3,5,5,4,4,5,5,3,5,4,7
31,c173db46e54cda7ab0dc417cfe57e8da,21.1,54,B1-B2,"=""14+""",yes,French,yes,University degree in English language and Literature%2C,no,no,no,no,no,yes,no,yes,yes,no,no%2C nessun problema.,la percezione che hanno gli italiani dell'inglese colloquiale.,,no,6,7,3,7,5,5,7,6,7,4,1,7,7,2,6,5,7,7,6,6,2,7,5,2,3,6,7,6,3,5,5,3
32,e7f5646984adb747d5e198104f15b1ff,9.13,25,C1-C2,"=""0-4""",yes,English,yes,I grew up speaking both English and Italian as I have an American and Italian parent.,no,no,no,yes,no,yes,yes,yes,yes,yes,,Livello di apprendimento d'Ingleses.,,no,7,7,7,5,5,2,4,4,7,4,7,4,3,4,3,3,7,4,6,2,5,4,5,3,7,7,7,3,4,4,4,6
33,713e49a2a12455f7ced9efc3913a992e,15.19,24,B1-B2,"=""5-10""",yes,Spanish%0A,no,I studied English at school and the most recent class I took was B2 level,yes,no,no,yes,no,no,no,no,yes,no,No%2C nessuna difficoltà,Penso che l’esperimento riguardasse la nostra percezione dei dialoghi in inglese. Un nostro feedback sulla lingua colloquiale.,,no,6,6,6,7,5,7,3,3,5,7,5,4,2,4,4,7,6,7,7,2,5,2,5,4,7,7,5,6,7,4,6,3
34,f003328adca83b7697f26b4b84b5cade,15.83,19,A1-A2,"=""14+""",no,English,no,,yes,no,no,no,no,no,no,no,no,no,si alcuni,,,no,4,4,4,5,4,3,5,5,5,3,4,5,3,6,6,3,6,6,4,4,5,4,4,7,7,3,6,5,5,6,5,5
35,f3c97665a1b3eefabb55cc763216e373,24.29,31,B1-B2,"=""5-10""",yes,English,yes,I just lived in London for two years%2C but i haven't a certification.,yes,no,no,no,no,no,no,no,yes,no,no,credo che riguardasse l'uso della lingua nel parlato comune e la grammatica,,no,6,4,2,4,3,6,5,4,5,5,4,6,6,2,5,6,6,3,6,5,6,6,3,5,3,6,6,6,6,6,6,4
36,5f2755157286ceaa70a9890cef5dddef,41.99,66,A1-A2,"=""14+""",yes,French,no,A2-2,yes,no,no,no,no,no,no,no,no,no,No,Non mi è chiaro,,yes,2,7,7,7,7,7,7,7,7,6,7,7,6,2,7,7,6,7,7,7,4,1,7,6,7,2,6,7,7,7,7,7
37,01e2d8715c5e8bf0f723221d737336ee,13.21,23,C1-C2,"=""5-10""",yes,English,yes,I have an IELTS 6.5 took in 2016%2C my last certification is the university One took in 2017%2C C1. I have studied English since I was 5 on school and since I was 12 in a private school. I spent one semester in Bristol two years ago,no,no,no,yes,no,yes,yes,yes,yes,yes,Nessuna in particolare,Capacità degli italiani di cogliere il linguaggio colloquiale,,no,6,7,3,2,7,1,7,1,7,6,6,5,5,2,5,5,1,4,7,7,2,4,6,5,6,7,5,2,7,3,3,5
38,68b9955b0491cc6045aafeda3747a6f4,9.42,30,C1-C2,"=""5-10""",yes,English,yes,,yes,yes,no,yes,no,yes,yes,yes,yes,yes,No,Non lo so,,no,3,7,7,7,7,7,7,7,1,7,7,7,1,3,1,3,7,7,7,7,7,3,3,7,7,7,7,7,7,7,7,7
39,4d918ec7cac99f34a0c944098df02337,6.68,21,A1-A2,"=""10-13""",no,,no,I started studying English seriously from high school but I never reached a level where I could speak it fluently and confidently%0A,yes,no,no,yes,no,no,no,no,yes,no,No%2Cè molto stimolante,Riguardo il bagaglio di parole inglesi che si ha%2C quanto vocabolario si conosce,,no,2,3,4,6,4,3,4,6,5,5,4,6,3,3,3,4,3,5,6,6,2,4,5,6,3,2,1,4,4,1,4,6
40,d155fe7b3489d0322bf3b6ef20ad21f1,19.02,23,B1-B2,"=""5-10""",yes,English.,no,I have a B2 level of English but I'm currently attending a C1 course at the University of Siena because I would like to achieve an Advanced level of English.,no,no,no,yes,no,no,no,no,yes,no,No%2C nessun problema.,Capire la familiarità che abbiamo con conversazioni quotidiane o forse per capire se siamo in grado di individuare errori frequenti.,,no,5,7,6,6,7,3,4,6,6,6,6,4,4,2,4,2,7,5,5,6,1,5,4,4,5,6,5,5,7,5,4,3
41,f9f0eada91dde29a2eca487170e04045,20.33,22,B1-B2,"=""5-10""",yes,english,no,now i will try to take the b2 idoneità,yes,no,no,no,no,no,no,no,yes,no,no,la capacità di capire brevi dialoghi,,no,5,5,5,5,5,5,6,6,4,5,6,5,5,6,6,6,5,5,6,5,5,7,5,7,5,5,5,6,5,6,6,5
42,ce4085f2a63529f3e29bbc0c629c61bd,13.52,22,B1-B2,"=""0-4""",yes,english%0Aspanish,no,I have a First Certificate of English (b2) that I took in 2015. I am now attending class of C1 level in order to take the CPE certificate in June.,yes,no,no,yes,no,no,no,no,yes,no,no,,,no,1,7,6,7,4,7,5,4,4,3,2,6,2,5,5,5,3,7,6,5,4,3,5,7,5,6,5,6,5,4,3,6
43,18df42ca18cfeb417404cc305e7fd6f3,16.38,21,A1-A2,"=""5-10""",no,,no,,no,yes,no,no,no,yes,yes,no,yes,no,non eccessivamente. i termini utilizzati erano abbastanza comprensibili%2C anche per me che non ho una buona conoscenza dell'Inglese.,se fossimo capaci di avere una conversazione simile quelle lette.,,yes,4,5,6,6,6,5,3,3,5,5,5,3,6,5,2,6,7,5,3,6,6,3,5,3,4,3,5,3,7,7,3,4
44,6e7df819cf5b9fe83a55a63831e2e0d2,30.39,31,B1-B2,"=""5-10""",yes,English,no,,no,no,no,no,no,no,no,yes,yes,no,No%2C nessun problema,,,no,6,6,7,6,7,6,7,4,5,6,6,5,6,5,7,5,5,7,4,6,5,4,5,5,5,4,6,7,6,4,3,3
45,55cafeb1ad29b8075915160b68f9abef,28.59,29,B1-B2,"=""5-10""",yes,French,yes,from zero to B2 in my school\private english school.%0Anow i'm attending a c1 course with the CLA in Siena,yes,no,yes,yes,yes,no,no,yes,yes,yes,a volte nello scegliere la naturalità: spesso ho scelto innaturale per alcuni errori.,direi gli errori grammaticali più comuni e sottovalutati dagli studenti che imparano l'inglese.,,no,7,6,5,7,4,4,4,7,4,7,5,7,5,2,3,7,7,7,6,6,2,3,3,5,7,6,5,7,5,3,7,5
46,ae72a985ad58de9d6b335a0f6695ee38,16.32,29,C1-C2,"=""10-13""",yes,French and English.,yes,Before the age of 12 I learned English by myself by reading%2C listening to music and watching movies. After the age of 12 I had English classes at school. I took the DET and I got a score of 120-125.,no,no,no,yes,yes,yes,yes,yes,yes,yes,No%2C l'esperimento e veramente facile.,Italiani che scrivono in Inglese. Provano a tradurre certe espressioni italiane quando scrivono in Inglese. Non sono sicuro...,No ho domande.,no,5,7,5,6,5,4,5,5,7,7,7,5,4,5,5,5,6,6,5,7,5,5,6,5,7,7,7,7,5,7,6,4
47,8acfb6a23637f57ec86b788259b13e02,10.56,28,B1-B2,"=""5-10""",yes,English,no,I started studying English in primary school. %0ANowadays I have a Cambridge B2 First Certification. I got it last year.,yes,no,no,yes,no,no,no,no,yes,no,Non molte,,Non ho quasi mai considerato l'opzione 1 (non naturale) e 7 (naturale).,no,6,4,6,5,6,4,4,6,4,6,4,6,5,5,6,5,6,5,4,5,4,3,6,3,5,3,6,3,4,4,4,3
48,7d9376e91746f8db09a7a55d324f1771,15.47,35,A1-A2,"=""10-13""",no,Inglese e francese,no,I'm studing English now%2C at the university in Siena. An on line course A2.2.,yes,no,yes,no,no,no,no,no,yes,yes,Si,Non ho capito bene a cosa serviva l'esperimento,,yes,1,2,4,3,2,4,6,5,4,4,5,4,3,3,3,3,4,2,4,4,4,4,5,6,3,4,4,5,1,2,5,5
49,70f0b8185cb7795b12ee65bc4a97c3b2,23.95,27,A1-A2,"=""5-10""",no,,no,,no,no,no,no,no,no,no,no,yes,no,,,,yes,4,6,2,4,4,2,5,5,7,1,2,6,1,5,5,6,4,2,3,4,6,6,6,5,2,3,3,3,4,2,4,6
50,cc58da65f4f10fe861520cabad6e3b42,16.69,26,B1-B2,"=""5-10""",yes,English,no,I started doing english since I was 5%2C now I'm attending a C1 course and a Master Degree all in english,yes,no,no,yes,no,no,no,no,yes,no,No,Grammatica e sintassi,,no,6,6,1,6,1,4,1,1,4,3,6,6,1,6,3,2,3,2,6,6,1,1,1,1,6,7,2,1,1,7,1,2
51,197d81e063f282dc6b310b5a30439904,41.15,47,B1-B2,"=""10-13""",no,,no,,yes,no,no,no,no,no,no,no,no,yes,No,Di conversazioni informali,,yes,7,6,3,4,7,6,5,7,3,7,6,5,5,2,7,4,7,6,4,7,5,6,7,2,7,4,6,6,1,6,6,2
52,320dfe7821851223af1aec792e2c27de,21.77,31,C1-C2,"=""5-10""",yes,English%0AFrench,no,-trinity college certificate high school%0A-first certificate(first year of -university)%0A,no,no,no,yes,no,yes,yes,no,yes,yes,dubbi sull'assegnazione dello score nelle conversazioni in cui i sono piccoli errori grammaticali,la fluidità delle conversazioni,,no,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
53,ae0d3395fbaceb52db490b53a8dab646,9.0,26,B1-B2,"=""5-10""",yes,French%2C English,no,Linguistic high school,no,no,no,yes,no,no,yes,yes,yes,yes,No,,,no,5,5,4,5,4,6,6,6,4,4,6,6,5,5,5,5,5,4,5,7,6,5,5,6,6,5,4,5,4,5,4,4
54,3d0fec9c41796227e08de7ad16baf6d9,29.78,82,C1-C2,"=""14+""",no,,yes,No Certifications,no,no,no,yes,no,yes,no,yes,yes,yes,No,Grammar%2C Syntax,,no,7,7,7,7,7,7,5,7,7,7,7,7,1,3,2,1,3,7,6,7,3,3,7,6,7,7,7,7,7,7,7,7
